新序号	视频编号	原始MP4文件名	原始TXT文件名
58	d003	shot_04.mp4	shot_04.txt
59	d003	shot_05.mp4	shot_05.txt
60	d003	shot_06.mp4	shot_06.txt
61	a011	shot_01.mp4	shot_01.txt
62	a011	shot_02.mp4	shot_02.txt
63	a011	shot_03.mp4	shot_03.txt
64	a011	shot_04.mp4	shot_04.txt
65	a011	shot_05.mp4	shot_05.txt
66	a011	shot_06.mp4	shot_06.txt
67	a006	shot_01.mp4	shot_01.txt
68	a006	shot_02.mp4	shot_02.txt
69	a006	shot_03.mp4	shot_03.txt
70	a006	shot_04.mp4	shot_04.txt
71	a006	shot_05.mp4	shot_05.txt
72	a006	shot_06.mp4	shot_06.txt
73	l015	shot_01.mp4	shot_01.txt
74	l015	shot_02.mp4	shot_02.txt
75	l015	shot_03.mp4	shot_03.txt
76	l015	shot_04.mp4	shot_04.txt
77	l015	shot_05.mp4	shot_05.txt
78	l015	shot_06.mp4	shot_06.txt
79	l002	shot_01.mp4	shot_01.txt
80	l002	shot_02.mp4	shot_02.txt
81	l002	shot_03.mp4	shot_03.txt
82	l002	shot_04.mp4	shot_04.txt
83	l002	shot_05.mp4	shot_05.txt
84	l002	shot_06.mp4	shot_06.txt
85	d004	shot_01.mp4	shot_01.txt
86	d004	shot_02.mp4	shot_02.txt
87	d004	shot_03.mp4	shot_03.txt
88	d004	shot_04.mp4	shot_04.txt
89	d004	shot_05.mp4	shot_05.txt
90	d004	shot_06.mp4	shot_06.txt
91	a012	shot_01.mp4	shot_01.txt
92	a012	shot_02.mp4	shot_02.txt
93	a012	shot_03.mp4	shot_03.txt
94	a012	shot_04.mp4	shot_04.txt
95	a012	shot_05.mp4	shot_05.txt
96	a012	shot_06.mp4	shot_06.txt
97	d010	shot_01.mp4	shot_01.txt
98	d010	shot_02.mp4	shot_02.txt
99	d010	shot_03.mp4	shot_03.txt
100	d010	shot_04.mp4	shot_04.txt
101	d010	shot_05.mp4	shot_05.txt
102	d010	shot_06.mp4	shot_06.txt
103	l001	shot_01.mp4	shot_01.txt
104	l001	shot_02.mp4	shot_02.txt
105	l001	shot_03.mp4	shot_03.txt
106	l001	shot_04.mp4	shot_04.txt
107	l001	shot_05.mp4	shot_05.txt
108	l001	shot_06.mp4	shot_06.txt
109	l005	shot_01.mp4	shot_01.txt
110	l005	shot_02.mp4	shot_02.txt
111	l005	shot_03.mp4	shot_03.txt
112	l005	shot_04.mp4	shot_04.txt
113	l005	shot_05.mp4	shot_05.txt
114	l005	shot_06.mp4	shot_06.txt
115	a016	shot_01.mp4	shot_01.txt
116	a016	shot_02.mp4	shot_02.txt
117	a016	shot_03.mp4	shot_03.txt
118	a016	shot_04.mp4	shot_04.txt
119	a016	shot_05.mp4	shot_05.txt
120	a016	shot_06.mp4	shot_06.txt
121	l017	shot_01.mp4	shot_01.txt
122	l017	shot_02.mp4	shot_02.txt
123	l017	shot_03.mp4	shot_03.txt
124	l017	shot_04.mp4	shot_04.txt
125	l017	shot_05.mp4	shot_05.txt
126	l017	shot_06.mp4	shot_06.txt
127	a017	shot_01.mp4	shot_01.txt
128	a017	shot_02.mp4	shot_02.txt
129	a017	shot_03.mp4	shot_03.txt
130	a017	shot_04.mp4	shot_04.txt
131	a017	shot_05.mp4	shot_05.txt
132	a017	shot_06.mp4	shot_06.txt
133	d007	shot_01.mp4	shot_01.txt
134	d007	shot_02.mp4	shot_02.txt
135	d007	shot_03.mp4	shot_03.txt
136	d007	shot_04.mp4	shot_04.txt
137	d007	shot_05.mp4	shot_05.txt
138	d007	shot_06.mp4	shot_06.txt
139	l012	shot_01.mp4	shot_01.txt
140	l012	shot_02.mp4	shot_02.txt
141	l012	shot_03.mp4	shot_03.txt
142	l012	shot_04.mp4	shot_04.txt
143	l012	shot_05.mp4	shot_05.txt
144	l012	shot_06.mp4	shot_06.txt
145	a001	shot_01.mp4	shot_01.txt
146	a001	shot_02.mp4	shot_02.txt
147	a001	shot_03.mp4	shot_03.txt
148	a001	shot_04.mp4	shot_04.txt
149	a001	shot_05.mp4	shot_05.txt
150	a001	shot_06.mp4	shot_06.txt
151	l007	shot_01.mp4	shot_01.txt
152	l007	shot_02.mp4	shot_02.txt
153	l007	shot_03.mp4	shot_03.txt
154	l007	shot_04.mp4	shot_04.txt
155	l007	shot_05.mp4	shot_05.txt
156	l007	shot_06.mp4	shot_06.txt
157	l008	shot_01.mp4	shot_01.txt
158	l008	shot_02.mp4	shot_02.txt
159	l008	shot_03.mp4	shot_03.txt
160	l008	shot_04.mp4	shot_04.txt
161	l008	shot_05.mp4	shot_05.txt
162	l008	shot_06.mp4	shot_06.txt
163	a014	shot_01.mp4	shot_01.txt
164	a014	shot_02.mp4	shot_02.txt
165	a014	shot_03.mp4	shot_03.txt
166	a014	shot_04.mp4	shot_04.txt
167	a014	shot_05.mp4	shot_05.txt
168	a014	shot_06.mp4	shot_06.txt
169	l009	shot_01.mp4	shot_01.txt
170	l009	shot_02.mp4	shot_02.txt
171	l009	shot_03.mp4	shot_03.txt
172	l009	shot_04.mp4	shot_04.txt
173	l009	shot_05.mp4	shot_05.txt
174	l009	shot_06.mp4	shot_06.txt
175	l020	shot_01.mp4	shot_01.txt
176	l020	shot_02.mp4	shot_02.txt
177	l020	shot_03.mp4	shot_03.txt
178	l020	shot_04.mp4	shot_04.txt
179	l020	shot_05.mp4	shot_05.txt
180	l020	shot_06.mp4	shot_06.txt
