sample_id,旧版orig_gen_clip,旧版orig_gen_vclip,新版orig_gen_clip,新版orig_gen_xclip,新旧版本二者取最小orig_gen_clip,新旧版本二者取最小orig_gen_xclip,纯SVD的clip,纯SVD的xclip,纯FI的clip,纯FI的xclip,SVD+FI的clip,SVD+FI的xclip,SVD+FI的clip（门控）,SVD+FI的xclip（门控）,渐进SVD clip,渐进SVD xclip,自适应渐进式SVD clip,自适应渐进式SVD xclip,差值clip,差值xclip,,,,,,,,,
193,0.74929,0.602477,0.913883269,0.720027149,0.74929,0.602477,,,,,,,,,0.91623044,0.627724886,0.886854231,0.558365822,0.137564231,-0.044111178,,前30个平均值,0.875731226,0.674771685,0.6756683,0.217357667,11.9378072,,
454,0.87935,0.601396,0.88091588,0.648757458,0.87935,0.601396,,,,,,,,,0.872143865,0.464667737,0.855585158,0.562453747,-0.023764842,-0.038942253,,全部200个平均值,0.856695052,0.691837707,0.677896795,0.22295488,11.65107739,86.6247087,
112,0.854742,0.698069,0.88583076,0.638863325,0.854742,0.638863325,,,,,,,,,0.869542956,0.602230728,0.869542956,0.602230728,0.014800956,-0.036632597,,,,,,,,,
700,0.93002,0.787725,0.931899548,0.821898937,0.93002,0.787725,,,,,,,,,0.915547132,0.753123283,0.915547132,0.753123283,-0.014472868,-0.034601717,,,,,,,,,
455,0.947176,0.815532,0.909250617,0.820262671,0.909250617,0.815532,,,,,,,,,0.906862974,0.782438993,0.906862974,0.782438993,-0.002387643,-0.033093007,,,SVD+FI的clip（门控）,SVD+FI的xclip（门控）,,,,,
577,0.871353,0.792698,0.885665655,0.841584921,0.871353,0.792698,,,,,,,,,0.893895984,0.739888132,0.864926875,0.760448933,-0.006426125,-0.032249067,,前10个平均值,0.8987,0.82095,,,,,
656,0.856628,0.654605,0.909056008,0.633532465,0.856628,0.633532465,,,,,,,,,0.839476585,0.551902175,0.726885676,0.604874432,-0.129742324,-0.028658033,,前30个平均值,0.890983333,0.733983333,,,,,
671,0.88553,0.772294,0.882067502,0.855843782,0.882067502,0.772294,,,,,,,,,0.884423494,0.743863344,0.884423494,0.743863344,0.002355992,-0.028430656,,全部200个平均值,,,,,,,
664,0.949188,0.960069,0.950920582,0.951907992,0.949188,0.951907992,,,,,,,,,0.909847498,0.931115746,0.898072898,0.924061775,-0.051115102,-0.027846217,,,,,,,,,
170,0.929809,0.805831,0.926085472,0.810519576,0.926085472,0.805831,,,,,,,,,0.946204066,0.779204726,0.946204066,0.779204726,0.020118594,-0.026626274,,,渐进SVD clip,渐进SVD xclip,,,,,
580,0.83827,0.754144,0.87343061,0.855429411,0.83827,0.754144,,,,,,,,,0.835417509,0.729054034,0.835417509,0.729054034,-0.002852491,-0.025089966,,前10个平均值,0.902431047,0.793291837,,,,,
678,0.887822,0.916915,0.780961871,0.827701628,0.780961871,0.827701628,,,,,,,,,0.786448002,0.844438553,0.765687823,0.804892063,-0.015274048,-0.022809565,,前30个平均值,0.895324107,0.732132687,,,,,
83,0.912712,0.875244,0.920818806,0.856750131,0.912712,0.856750131,,,,,0.871,0.8322,0.8772,0.8368,0.877207339,0.836803436,0.877207339,0.836803436,-0.035504661,-0.019946695,,全部200个平均值,0.879943,0.740513,,,,,
343,0.86456,0.751872,0.873473346,0.765435696,0.86456,0.751872,,,,,,,,,0.866661191,0.732191205,0.866661191,0.732191205,0.002101191,-0.019680795,,,,,,,,,
184,0.874593,0.887016,0.874149382,0.881029725,0.874149382,0.881029725,,,,,,,,,0.884022355,0.839906096,0.895221114,0.861502826,0.021071732,-0.019526899,,,,,,,,,
477,0.90928,0.577779,0.874656558,0.425986022,0.874656558,0.425986022,,,,,,,,,0.873303294,0.407283127,0.873303294,0.407283127,-0.001353264,-0.018702895,,,自适应渐进SVD clip,自适应渐进SVD xclip,LPIPS ,SSIM,OF-EPE ,FVD,
186,0.935694,0.943873,0.811541319,0.897209764,0.811541319,0.897209764,,,,,,,,,0.866959095,0.891476631,0.86067754,0.878708243,0.049136221,-0.018501521,,前10个平均值,0.90472213,0.821275872,,,,,
458,0.873557,0.709572,0.91528064,0.681023717,0.873557,0.681023717,,,,,,,,,0.918467641,0.663270593,0.918467641,0.663270593,0.044910641,-0.017753124,,前30个平均值,0.894369396,0.743075967,,,,,
164,0.850965,0.895788,0.864000618,0.904305935,0.850965,0.895788,,,,,,,,,0.877513766,0.901970863,0.871662736,0.879953921,0.020697736,-0.015834079,,全部200个平均值,0.879336859,0.74377346,0.622714,0.259308,11.701196,80.91139013,
643,0.823576,0.481455,0.768167853,0.589797258,0.768167853,0.481455,,,,,,,,,0.806216478,0.467463285,0.806216478,0.467463285,0.038048625,-0.013991715,,,,,,,,,
669,0.893124,0.937491,0.928238869,0.95231986,0.893124,0.937491,,,,,,,,,0.915715456,0.924319446,0.915715456,0.924319446,0.022591456,-0.013171554,,全量200个case, mean_clip_o_g,mean_xclip_o_g,mean_lpips,mean_ssim,mean_of_epe,mean_dino,fvd
289,0.846435,0.789107,0.868427634,0.761031628,0.846435,0.761031628,,,,,,,,,0.854173899,0.748131454,0.854173899,0.748131454,0.007738899,-0.012900174,,baseline,0.856695052,0.691837707,0.677896795,0.22295488,11.65107739,,86.6247087
610,0.886926,0.792291,0.905465424,0.772810817,0.886926,0.772810817,,,,,,,,,0.898328364,0.76107645,0.898328364,0.76107645,0.011402364,-0.011734367,,ours,0.879336859,0.74377346,0.622714,0.259308,11.701196,,80.91139013
177,0.878852,0.915159,0.922753572,0.886895299,0.878852,0.886895299,,,,,,,,,0.922262907,0.87657547,0.922262907,0.87657547,0.043410907,-0.010319829,,,0.022641807,0.051935753,-0.055182795,0.03635312,0.05011861,0,-5.71331857
829,0.767609,0.739405,0.838638783,0.720371068,0.767609,0.720371068,,,,,,,,,0.84294337,0.710112214,0.84294337,0.710112214,0.07533437,-0.010258854,,,,,,,,,
651,0.925078,0.95639,0.896354079,0.95105058,0.896354079,0.95105058,,,,,,,,,0.907726526,0.941550493,0.907726526,0.941550493,0.011372447,-0.009500087,,,,,,,,,
407,0.880024,0.707998,0.854161322,0.604381859,0.854161322,0.604381859,,,,,,,,,0.860653758,0.595419049,0.860653758,0.595419049,0.006492436,-0.00896281,,,,,,,,,
675,0.938359,0.910527,0.887342274,0.89125371,0.887342274,0.89125371,,,,,,,,,0.860499501,0.883796453,0.860499501,0.883796453,-0.026842773,-0.007457257,,,,,,,,,
641,0.901019,0.758628,0.882656574,0.6925295,0.882656574,0.6925295,,,,,,,,,0.923869848,0.686720252,0.923869848,0.686720252,0.041213274,-0.005809248,,,,,,,,,
756,0.937824,0.911494,0.859792531,0.900127769,0.859792531,0.900127769,,,,,,,,,0.854142725,0.896338224,0.854142725,0.896338224,-0.005649806,-0.003789545,,,,,,,,,
290,0.879657,0.604509,0.875495195,0.593611121,0.875495195,0.593611121,,,,,,,,,0.882590592,0.590534031,0.882590592,0.590534031,0.007095397,-0.00307709,,剔除xclip下降最多的20个case后, mean_clip_o_g,mean_xclip_o_g,mean_lpips,mean_ssim,mean_of_epe,mean_dino,fvd
648,0.920376,0.926974,0.903805614,0.950516284,0.903805614,0.926974,,,,,,,,,0.912772536,0.924135804,0.912772536,0.924135804,0.008966922,-0.002838196,,baseline,0.854376,0.68876,0.678309,0.223848,11.602828,0.546859,91.44
356,0.834226,0.665702,0.841990769,0.650453508,0.834226,0.650453508,,,,,,,,,0.851275504,0.647669435,0.851275504,0.647669435,0.017049504,-0.002784073,,ours,0.880564,0.757725,0.621906,0.259441,11.783723,0.569218,84.8
456,0.957596,0.788748,0.96014142,0.908406258,0.957596,0.788748,,,,,,,,,0.962775707,0.786225438,0.962775707,0.786225438,0.005179707,-0.002522562,,,0.026188,0.068965,-0.056403,0.035593,0.180895,0.022359,-6.64
157,0.939054,0.669602,0.86708039,0.668189347,0.86708039,0.668189347,,,,,,,,,0.869053721,0.666291952,0.869053721,0.666291952,0.001973331,-0.001897395,,,,,,,,,
172,0.89218,0.714694,0.901660919,0.63260138,0.89218,0.63260138,,,,,,,,,0.901340842,0.632493019,0.901340842,0.632493019,0.009160842,-0.000108361,,,,,,,,,
243,0.885123,0.772942,0.881173015,0.747177243,0.881173015,0.747177243,,,,,,,,,0.883672893,0.748212278,0.883672893,0.748212278,0.002499878,0.001035035,,,,,,,,,
47,0.892082,0.862028,0.884019613,0.82158637,0.884019613,0.82158637,,,,,0.8869,0.7982,0.8882,0.81,0.875262618,0.822983503,0.875262618,0.822983503,-0.008756995,0.001397133,,,,,,,,,
660,0.905269,0.831526,0.915785313,0.82675457,0.905269,0.82675457,,,,,,,,,0.910066009,0.828614175,0.910066009,0.828614175,0.004797009,0.001859605,,,,,,,,,
175,0.954717,0.894346,0.926458478,0.90886879,0.926458478,0.894346,,,,,,,,,0.940458775,0.912890911,0.932162762,0.898264647,0.005704284,0.003918647,,,,,,,,,
849,0.935457,0.949112,0.927241027,0.959265649,0.927241027,0.949112,,,,,,,,,0.917263627,0.953956306,0.917263627,0.953956306,-0.0099774,0.004844306,,,,,,,,,
642,0.934395,0.811578,0.92314744,0.853393614,0.92314744,0.811578,,,,,,,,,0.927448273,0.816451728,0.927448273,0.816451728,0.004300833,0.004873728,,,,,,,,,
105,0.897087,0.722067,0.894014359,0.550086141,0.894014359,0.550086141,,,,,0.9372,0.7668,0.8886,0.5558,0.888551116,0.555820584,0.888551116,0.555820584,-0.005463243,0.005734443,,,,,,,,,
128,0.807558,0.808973,0.819625676,0.817083955,0.807558,0.808973,,,,,,,,,0.858661711,0.82595402,0.855814338,0.814862788,0.048256338,0.005889788,,,,,,,,,
350,0.867556,0.584896,0.877435386,0.597000122,0.867556,0.584896,,,,,,,,,0.904529095,0.62719959,0.911843419,0.591092825,0.044287419,0.006196825,,,,,,,,,
367,0.902195,0.659697,0.886932254,0.580091715,0.886932254,0.580091715,,,,,,,,,0.838944614,0.586470246,0.838944614,0.586470246,-0.04798764,0.006378531,,,,,,,,,
655,0.963186,0.897492,0.967782259,0.939525187,0.963186,0.897492,,,,,,,,,0.965066791,0.910019934,0.967776716,0.904334068,0.004590716,0.006842068,,,,,,,,,
636,0.841023,0.790751,0.807483435,0.752817333,0.807483435,0.752817333,,,,,,,,,0.804033995,0.760228693,0.804033995,0.760228693,-0.00344944,0.00741136,,,,,,,,,
247,0.889933,0.53195,0.885119796,0.582528174,0.885119796,0.53195,,,,,,,,,0.906058908,0.541024446,0.906058908,0.541024446,0.020939112,0.009074446,,,,,,,,,
668,0.917739,0.950715,0.887388945,0.950027823,0.887388945,0.950027823,,,,,,,,,0.915687621,0.969377518,0.906791866,0.959160686,0.019402921,0.009132863,,,,,,,,,
672,0.843302,0.888309,0.853996158,0.873169482,0.843302,0.873169482,,,,,,,,,0.860884488,0.886731446,0.84447217,0.882828355,0.00117017,0.009658873,,,,,,,,,
78,0.962575,0.88998,0.960239053,0.870138884,0.960239053,0.870138884,,,,,0.9581,0.9238,0.9444,0.9193,0.937047124,0.88098377,0.937047124,0.88098377,-0.023191929,0.010844886,,,,,,,,,
31,0.912275,0.609367,0.911011457,0.714796305,0.911011457,0.609367,,,,,0.8408,0.6073,0.8563,0.6304,0.85616082,0.620821595,0.85616082,0.620821595,-0.054850637,0.011454595,,,,,,,,,
665,0.955885,0.873975,0.963821709,0.824266672,0.955885,0.824266672,,,,,,,,,0.969145179,0.836564124,0.969145179,0.836564124,0.013260179,0.012297452,,,,,,,,,
759,0.822377,0.724085,0.840762317,0.732841909,0.822377,0.724085,,,,,,,,,0.796414971,0.781990051,0.796700358,0.736481965,-0.025676642,0.012396965,,,,,,,,,
272,0.815867,0.856883,0.836309791,0.735486388,0.815867,0.735486388,,,,,,,,,0.836814165,0.748810768,0.836814165,0.748810768,0.020947165,0.01332438,,,,,,,,,
590,0.902869,0.920058,0.856430054,0.837743044,0.856430054,0.837743044,,,,,,,,,0.881349862,0.851261377,0.881349862,0.851261377,0.024919808,0.013518333,,,,,,,,,
652,0.893612,0.717949,0.875041068,0.757421255,0.875041068,0.717949,,,,,,,,,0.88372004,0.771210968,0.882239223,0.731567144,0.007198155,0.013618144,,,,,,,,,
139,0.839696,0.747371,0.799169362,0.688291609,0.799169362,0.688291609,,,,,,,,,0.836999059,0.702458382,0.836999059,0.702458382,0.037829697,0.014166773,,,,,,,,,
348,0.876842,0.85408,0.917639494,0.827421069,0.876842,0.827421069,,,,,,,,,0.924053729,0.843612731,0.924053729,0.843612731,0.047211729,0.016191662,,,,,,,,,
104,0.84172,0.626009,0.802522421,0.548328519,0.802522421,0.548328519,,,,,0.7822,0.5953,0.7998,0.5646,0.799813628,0.564594984,0.799813628,0.564594984,-0.002708793,0.016266465,,,,,,,,,
285,0.904196,0.900987,0.8926754,0.873975456,0.8926754,0.873975456,,,,,,,,,0.933181643,0.938822687,0.909465313,0.89239502,0.016789913,0.018419564,,,,,,,,,
124,0.860287,0.65217,0.851304352,0.75420773,0.851304352,0.65217,,,,,,,,,0.870091736,0.670660198,0.870091736,0.670660198,0.018787384,0.018490198,,,,,,,,,
197,0.944002,0.815711,0.935400605,0.84040457,0.935400605,0.815711,,,,,,,,,0.897341251,0.834716201,0.897341251,0.834716201,-0.038059354,0.019005201,,,,,,,,,
363,0.894167,0.685944,0.894592047,0.684756875,0.894167,0.684756875,,,,,,,,,0.882601976,0.705502868,0.882601976,0.705502868,-0.011565024,0.020745993,,,,,,,,,
650,0.896978,0.912555,0.904112637,0.877089977,0.896978,0.877089977,,,,,,,,,0.892398417,0.895044327,0.882538319,0.898398757,-0.014439681,0.02130878,,,,,,,,,
662,0.929352,0.893964,0.864526153,0.844027817,0.864526153,0.844027817,,,,,,,,,0.920141399,0.86540705,0.920141399,0.86540705,0.055615246,0.021379233,,,,,,,,,
645,0.890759,0.897302,0.875449419,0.871670008,0.875449419,0.871670008,,,,,,,,,0.8858459,0.893214643,0.8858459,0.893214643,0.010396481,0.021544635,,,,,,,,,
260,0.91162,0.941992,0.908288777,0.944269061,0.908288777,0.941992,,,,,,,,,0.886726379,0.925785482,0.901994884,0.964549839,-0.006293893,0.022557839,,,,,,,,,
79,0.920247,0.735633,0.877314568,0.741975129,0.877314568,0.735633,,,,,0.8538,0.7671,0.8509,0.7672,0.893710494,0.759816527,0.893710494,0.759816527,0.016395926,0.024183527,,,,,,,,,
228,0.790781,0.798689,0.750805199,0.735302091,0.750805199,0.735302091,,,,,,,,,0.748768568,0.759657979,0.748768568,0.759657979,-0.002036631,0.024355888,,,,,,,,,
183,0.86879,0.761285,0.869554162,0.794144034,0.86879,0.761285,,,,,,,,,0.872397721,0.785935581,0.872397721,0.785935581,0.003607721,0.024650581,,,,,,,,,
848,0.918045,0.751628,0.9019593,0.766041398,0.9019593,0.751628,,,,,,,,,0.896739542,0.776906371,0.896739542,0.776906371,-0.005219758,0.025278371,,,,,,,,,
761,0.940235,0.869202,0.917770147,0.827779055,0.917770147,0.827779055,,,,,,,,,0.906095624,0.853282213,0.906095624,0.853282213,-0.011674523,0.025503158,,,,,,,,,
136,0.851384,0.820264,0.881277561,0.848421693,0.851384,0.820264,,,,,,,,,0.880192816,0.847062826,0.880192816,0.847062826,0.028808816,0.026798826,,,,,,,,,
373,0.874933,0.790211,0.848821104,0.750128031,0.848821104,0.750128031,,,,,,,,,0.868255734,0.777317941,0.868255734,0.777317941,0.01943463,0.02718991,,,,,,,,,
560,0.83761,0.614011,0.80951333,0.556577682,0.80951333,0.556577682,,,,,,,,,0.817130446,0.584986329,0.817130446,0.584986329,0.007617116,0.028408647,,,,,,,,,
666,0.933925,0.916552,0.878443301,0.84143281,0.878443301,0.84143281,,,,,,,,,0.892398477,0.868256509,0.865683675,0.871167302,-0.012759626,0.029734492,,,,,,,,,
195,0.929298,0.906451,0.886570454,0.845571876,0.886570454,0.845571876,,,,,,,,,0.895388544,0.848048925,0.905958116,0.875388622,0.019387662,0.029816746,,,,,,,,,
346,0.851114,0.642901,0.729847848,0.704221368,0.729847848,0.642901,,,,,,,,,0.742505074,0.673572659,0.742505074,0.673572659,0.012657226,0.030671659,,,,,,,,,
633,0.920714,0.904005,0.927450061,0.919649005,0.920714,0.904005,,,,,,,,,0.930158257,0.962365866,0.844653249,0.935251534,-0.076060751,0.031246534,,,,,,,,,
106,0.879313,0.607148,0.879217148,0.608117104,0.879217148,0.607148,,,,,0.8672,0.6808,0.8598,0.639,0.858521998,0.577769041,0.859819591,0.639010906,-0.019397557,0.031862906,,,,,,,,,
658,0.887948,0.86284,0.900393963,0.873938441,0.887948,0.86284,,,,,,,,,0.930602551,0.895590186,0.930602551,0.895590186,0.042654551,0.032750186,,,,,,,,,
345,0.892136,0.86549,0.849171877,0.908953428,0.849171877,0.86549,,,,,,,,,0.849926293,0.902443945,0.849926293,0.902443945,0.000754416,0.036953945,,,,,,,,,
475,0.940024,0.849597,0.921465993,0.829853237,0.921465993,0.829853237,,,,,,,,,0.945870578,0.866810679,0.945870578,0.866810679,0.024404585,0.036957442,,,,,,,,,
646,0.93513,0.742626,0.934348464,0.764789104,0.934348464,0.742626,,,,,,,,,0.897956073,0.691846609,0.946721435,0.780956328,0.012372971,0.038330328,,,,,,,,,
21,0.901105,0.77319,0.857870817,0.729838133,0.857870817,0.729838133,,,,,0.9197,0.7646,0.9179,0.7804,0.912069321,0.7697649,0.912069321,0.7697649,0.054198504,0.039926767,,,,,,,,,
471,0.898984,0.774462,0.905162394,0.848507822,0.898984,0.774462,,,,,,,,,0.908961952,0.815366387,0.908961952,0.815366387,0.009977952,0.040904387,,,,,,,,,
43,0.962151,0.926188,0.955523551,0.88200438,0.955523551,0.88200438,,,,,0.949,0.9181,0.9523,0.9235,0.951333046,0.913537443,0.952301741,0.923503876,-0.00322181,0.041499496,,,,,,,,,
72,0.846935,0.76647,0.910687268,0.703929245,0.846935,0.703929245,,,,,0.8887,0.7662,0.8909,0.7459,0.899511814,0.807907999,0.890946507,0.745857358,0.044011507,0.041928113,,,,,,,,,
692,0.780008,0.374951,0.792080402,0.513229907,0.780008,0.374951,,,,,,,,,0.71701932,0.379478276,0.718108416,0.418154061,-0.061899584,0.043203061,,,,,,,,,
673,0.921392,0.934906,0.895390749,0.895941854,0.895390749,0.895941854,,,,,,,,,0.956591427,0.909633279,0.919762731,0.940772235,0.024371982,0.044830381,,,,,,,,,
659,0.882516,0.875136,0.864199936,0.883788764,0.864199936,0.875136,,,,,,,,,0.814018011,0.864612281,0.87882632,0.920781016,0.014626384,0.045645016,,,,,,,,,
202,0.881069,0.831043,0.929264128,0.870946407,0.881069,0.831043,,,,,,,,,0.840677679,0.865809679,0.897368729,0.876756191,0.016299729,0.045713191,,,,,,,,,
605,0.824268,0.687708,0.867895305,0.682673216,0.824268,0.682673216,,,,,,,,,0.917377949,0.72861135,0.917377949,0.72861135,0.093109949,0.045938134,,,,,,,,,
362,0.884263,0.891086,0.908533871,0.929628611,0.884263,0.891086,,,,,,,,,0.903643847,0.937088847,0.903643847,0.937088847,0.019380847,0.046002847,,,,,,,,,
116,0.819018,0.469357,0.841010928,0.583553195,0.819018,0.469357,,,,,,,,,0.840583444,0.555002987,0.847673297,0.5168432,0.028655297,0.0474862,,,,,,,,,
408,0.899083,0.680953,0.922820687,0.790137291,0.899083,0.680953,,,,,,,,,0.938609719,0.730903089,0.938609719,0.730903089,0.039526719,0.049950089,,,,,,,,,
575,0.857902,0.597746,0.842946291,0.596078217,0.842946291,0.596078217,,,,,,,,,0.892919183,0.646136165,0.892919183,0.646136165,0.049972892,0.050057948,,,,,,,,,
143,0.764748,0.509407,0.748444498,0.572343826,0.748444498,0.509407,,,,,,,,,0.758883595,0.56004107,0.758883595,0.56004107,0.010439097,0.05063407,,,,,,,,,
168,0.781378,0.691086,0.831930637,0.757574201,0.781378,0.691086,,,,,,,,,0.865691423,0.742396653,0.865691423,0.742396653,0.084313423,0.051310653,,,,,,,,,
178,0.789834,0.714913,0.879003286,0.655490398,0.789834,0.655490398,,,,,,,,,0.878955245,0.709243059,0.878955245,0.709243059,0.089121245,0.053752661,,,,,,,,,
76,0.888948,0.571176,0.865603328,0.550156891,0.865603328,0.550156891,,,,,0.9043,0.6196,0.8998,0.6045,0.910270035,0.549657226,0.899804056,0.604512215,0.034200728,0.054355324,,,,,,,,,
340,0.658406,0.356361,0.768322468,0.435103536,0.658406,0.356361,,,,,,,,,0.751746893,0.430158198,0.788929343,0.41248703,0.130523343,0.05612603,,,,,,,,,
701,0.853875,0.580405,0.894662261,0.70294857,0.853875,0.580405,,,,,,,,,0.865361512,0.63691473,0.865361512,0.63691473,0.011486512,0.05650973,,,,,,,,,
361,0.906763,0.869143,0.720889747,0.773616076,0.720889747,0.773616076,,,,,,,,,0.851631582,0.833879948,0.851631582,0.833879948,0.130741835,0.060263872,,,,,,,,,
706,0.948113,0.760336,0.924984515,0.710984945,0.924984515,0.710984945,,,,,,,,,0.838781357,0.671697378,0.856385469,0.771961093,-0.068599046,0.060976148,,,,,,,,,
397,0.934277,0.801539,0.928388476,0.810438633,0.928388476,0.801539,,,,,,,,,0.90455842,0.862957239,0.90455842,0.862957239,-0.023830056,0.061418239,,,,,,,,,
99,0.761108,0.661681,0.846022367,0.694420815,0.761108,0.661681,,,,,0.8688,0.4444,0.8842,0.6161,0.903431654,0.723377585,0.903431654,0.723377585,0.142323654,0.061696585,,,,,,,,,
479,0.950338,0.632282,0.934479415,0.699810863,0.934479415,0.632282,,,,,,,,,0.938203216,0.696609616,0.938203216,0.696609616,0.003723801,0.064327616,,,,,,,,,
84,0.883077,0.617785,0.880146861,0.684309602,0.880146861,0.617785,,,,,0.8291,0.6814,0.8775,0.6825,0.87746942,0.682523906,0.87746942,0.682523906,-0.002677441,0.064738906,,,,,,,,,
802,0.851574,0.726398,0.880607009,0.678996921,0.851574,0.678996921,,,,,,,,,0.907800198,0.728349566,0.898380399,0.745185554,0.046806399,0.066188633,,,,,,,,,
555,0.854777,0.549205,0.826962829,0.575238287,0.826962829,0.549205,,,,,,,,,0.813722372,0.615968823,0.813722372,0.615968823,-0.013240457,0.066763823,,,,,,,,,
382,0.92739,0.86841,0.898429811,0.802105725,0.898429811,0.802105725,,,,,,,,,0.918990314,0.870021105,0.918990314,0.870021105,0.020560503,0.06791538,,,,,,,,,
844,0.913884,0.711014,0.873307943,0.81188488,0.873307943,0.711014,,,,,,,,,0.87533015,0.761773765,0.913399994,0.779093385,0.040092051,0.068079385,,,,,,,,,
612,0.852735,0.574977,0.785663843,0.421079755,0.785663843,0.421079755,,,,,,,,,0.815286994,0.454341948,0.846046567,0.48987484,0.060382724,0.068795085,,,,,,,,,
557,0.806367,0.701527,0.772063851,0.765916586,0.772063851,0.701527,,,,,,,,,0.807831049,0.774738073,0.807831049,0.774738073,0.035767198,0.073211073,,,,,,,,,
370,0.794131,0.582781,0.781081319,0.699748755,0.781081319,0.582781,,,,,,,,,0.739259124,0.653171837,0.752685547,0.656176567,-0.028395772,0.073395567,,,,,,,,,
82,0.91761,0.642041,0.927965641,0.813880801,0.91761,0.642041,,,,,0.8337,0.7096,0.8323,0.7021,0.840680778,0.720734656,0.840680778,0.720734656,-0.076929222,0.078693656,,,,,,,,,
34,0.868079,0.759053,0.883832872,0.80859369,0.868079,0.759053,,,,,0.8563,0.8148,0.8685,0.8381,0.875132084,0.836898685,0.868450701,0.838115931,0.000371701,0.079062931,,,,,,,,,
341,0.81856,0.690745,0.864052653,0.724745035,0.81856,0.690745,,,,,,,,,0.821301579,0.770777762,0.821301579,0.770777762,0.002741579,0.080032762,,,,,,,,,
729,0.862698,0.673437,0.847960174,0.59536612,0.847960174,0.59536612,,,,,,,,,0.930118918,0.676445246,0.930118918,0.676445246,0.082158744,0.081079126,,,,,,,,,
88,0.91031,0.669161,0.913250685,0.686881185,0.91031,0.669161,,,,,0.9176,0.7605,0.9297,0.7675,0.924435318,0.751416802,0.924435318,0.751416802,0.014125318,0.082255802,,,,,,,,,
297,0.871082,0.584949,0.836554587,0.648786426,0.836554587,0.584949,,,,,,,,,0.877853334,0.673850179,0.877853334,0.673850179,0.041298747,0.088901179,,,,,,,,,
46,0.876443,0.70096,0.881396294,0.661555529,0.876443,0.661555529,,,,,0.9024,0.7119,0.8988,0.7523,0.905189633,0.733951747,0.898831129,0.752315164,0.022388129,0.090759635,,,,,,,,,
